,time,hashtag,N,L,ave_deg,C,Density
0,23-24_53,ワールドカップ,1232,1579,2.563311688311688,0.7492822966507177,0.002082300315444101
1,23-24_53_ori,ワールドカップ,12977,188677,29.078677660476227,0.09979579852647055,0.002240958512675418
2,24-24_69,ワールドカップ,2187,3255,2.9766803840877913,0.7492822966507177,0.0013617019140383308
3,24-24_69_ori,ワールドカップ,19126,290854,30.414514273763462,0.09979579852647055,0.0015903013999353445
4,21-23_66,universitylife,2254,7539,6.6894409937888195,0.8026222679146027,0.0029691260513931735
5,21-23_66_ori,universitylife,10939,187102,34.20824572630039,0.09996327942476876,0.0031274680678643617
6,22-25_188,universitylife,4239,17945,8.466619485727765,0.8026222679146027,0.0019977865704879105
7,22-25_188_ori,universitylife,14316,254347,35.5332495110366,0.09996327942476876,0.0024822388760766053
8,23-23_43,神戸,2784,6581,4.727729885057471,0.8647537304052719,0.0016987890352344489
9,23-23_43_ori,神戸,20122,338318,33.62667726866117,0.12093286297333626,0.0016712229644978464
10,23-23_87,神戸,3210,9119,5.681619937694704,0.8647537304052719,0.0017705266243984742
11,23-23_87_ori,神戸,20410,342873,33.5985301322881,0.12093286297333626,0.0016462604798024448
12,21-22_90,キャンペーン,3047,10934,7.176895306859206,0.7600826004079858,0.0023561704881349984
13,21-22_90_ori,キャンペーン,16225,266485,32.84869029275809,0.1703936367556039,0.002024697379977693
14,22-24_124,キャンペーン,5521,23529,8.523455895671074,0.7600826004079858,0.0015441043289259192
15,22-24_124_ori,キャンペーン,21021,360110,34.26192854764283,0.1703936367556039,0.0016299680565006105
16,22-22_32,スイーツ,504,730,2.8968253968253967,0.8663607685689705,0.005759096216352677
17,22-22_32_ori,スイーツ,9027,153169,33.93574831062369,0.14543632650000854,0.00375977712282558
18,22-22_69,スイーツ,1691,3066,3.6262566528681255,0.8663607685689705,0.002145713995779956
19,22-22_69_ori,スイーツ,17459,327778,37.5483131909044,0.14543632650000854,0.0021507797680664683
20,21-29_227,ええじゃろ広島の秋2022,1124,3532,6.284697508896797,0.624639227004643,0.0055963468467469255
21,21-29_227_ori,ええじゃろ広島の秋2022,3391,75044,44.260690061928635,0.18957780133000976,0.01305625075573116
22,21-29_454,ええじゃろ広島の秋2022,1155,3460,5.991341991341991,0.624639227004643,0.0051918041519428
23,21-29_454_ori,ええじゃろ広島の秋2022,3391,75044,44.260690061928635,0.18957780133000976,0.01305625075573116
24,23-24_70,チーズ,3142,9690,6.168045830681095,0.8357165420659155,0.0019637204172814693
25,23-24_70_ori,チーズ,18277,339402,37.13979318268863,0.12928038947594528,0.0020321620257544664
26,25-27_122,チーズ,2241,6318,5.63855421686747,0.8357165420659155,0.002517211703958692
27,25-27_122_ori,チーズ,15356,273499,35.62112529304506,0.12928038947594528,0.0023198388338029996
28,21-29_213,新海誠,1617,3612,4.467532467532467,0.821199911690032,0.002764562170502764
29,21-29_213_ori,新海誠,9166,125000,27.274710888064586,0.06198764907728633,0.0029759640903507458
30,21-29_855,新海誠,1666,3677,4.4141656662665065,0.821199911690032,0.002651150550310214
31,21-29_855_ori,新海誠,9202,125692,27.318409041512716,0.06198764907728633,0.002969069562168538
32,21-29_235,じゃけぇ広島に恋しとる,631,1929,6.114104595879557,0.5880865056279246,0.00970492792996755
33,21-29_235_ori,じゃけぇ広島に恋しとる,2344,52736,44.996587030716725,0.1899146026230065,0.01920468930034858
34,22-22_66,紅葉,1625,2102,2.587076923076923,0.8710878257272853,0.0015930276619931791
35,22-22_66_ori,紅葉,13710,226864,33.094675419401895,0.13355104427701703,0.0024140838441463197
36,24-24_75,紅葉,3022,4453,2.947054930509596,0.8710878257272853,0.000975522982624825
37,24-24_75_ori,紅葉,19114,336107,35.168672177461545,0.13355104427701703,0.0018400393542333253
38,21-29_222,関西旅行,1837,7638,8.315732172019597,0.7706963744439633,0.004529265888899563
39,21-29_222_ori,関西旅行,8407,170454,40.5504936362555,0.1268000257888521,0.004823994008595706
40,21-29_444,関西旅行,1881,7401,7.869218500797448,0.7706963744439633,0.00418575452170077
41,21-29_444_ori,関西旅行,8407,170454,40.5504936362555,0.1268000257888521,0.004823994008595706
42,23-23_92,コーデ,1617,5006,6.191713048855906,0.6924610273447482,0.003831505599539546
43,23-23_92_ori,コーデ,10940,246576,45.077879341864715,0.09697230868150718,0.004120840967352109
44,22-25_189,スターバックス,4468,11615,5.199194270367054,0.7456132715941928,0.0011639118581524635
45,22-25_189_ori,スターバックス,17549,303589,34.59900849051228,0.05830813243629266,0.001971678167911573
46,22-26_234,スターバックス,5699,14640,5.137743463765573,0.7456132715941928,0.0009016748795657376
47,22-26_234_ori,スターバックス,20295,347537,34.24853412170485,0.05830813243629266,0.0016876187110330565
48,23-23_86,アニメ,1649,4734,5.741661613098848,0.7989240080699395,0.0034840179691133784
49,23-23_86_ori,アニメ,11414,205149,35.94690730681619,0.1166059834256825,0.0031496457817240158
50,24-24_95,アニメ,1680,4371,5.203571428571428,0.7989240080699395,0.0030992087126691056
51,24-24_95_ori,アニメ,12016,231534,38.53761651131824,0.1166059834256825,0.00320745871921084
52,22-22_58,ダイエット,1155,2172,3.761038961038961,0.8485955056179775,0.003259132548560625
53,22-22_58_ori,ダイエット,14665,298337,40.68694169792022,0.10959983075044946,0.002774614136519382
54,23-23_70,ダイエット,2076,4121,3.970134874759152,0.8485955056179775,0.0019133180119321215
55,23-23_70_ori,ダイエット,17888,366632,40.99194991055456,0.10959983075044946,0.0022917174434256477
